,Per 10k Tokens
Brown (1961),46.34
King fiction (1974-2020),38.27
Frown (1992),48.19
"""High"" literary",38.54
King-inspired Fanfiction,43.1
"King: ""Misery's Return""",36.34
Harry Potter Fanfiction,44.05
,
Passive verbs forms,Brown Fiction
Present simple ,63
Present continuous,0
Present perfect,34
Past simple,700
Past continuous,1
Past perfect,154
Future,0
Future perfect,0
Total,952
