,Frequncy per 10k
,Frequency
Brown Fiction,776.13
Frown Fiction,743.69
High literary,771.17
King fiction,843.72
King fanfiction,860.14
HP fanfiction,853.31
Misery's Return,906.3
,
Average of Brown and Frown,759.91
