,Frequency,Word Tokens,Frequency N
Brown Fiction,166,235849,70.38401689
Frown Fiction,48,217039,22.11584093
High literary,530,2328081,22.76553092
King fiction,5820,9582946,60.73288945
King fanfiction,318,390353,81.46472552
HP fanfiction,421,404556,104.064703
Misery's Return,13,8805,147.6433844
